03-03 07:57:55: Training starting...
03-03 07:57:59: New best reward 3.8 (-100.0%) at episode 0, saving model...
03-03 07:58:05: New best reward 5.7 (+48.5%) at episode 2, saving model...
03-03 07:58:26: New best reward 19.7 (+245.7%) at episode 7, saving model...
03-03 08:07:57: New best reward 34.8 (+76.6%) at episode 150, saving model...
03-03 12:34:48: New best reward 41.5 (+19.1%) at episode 1707, saving model...
03-03 14:13:45: New best reward 45.9 (+10.7%) at episode 2259, saving model...
03-03 15:04:23: New best reward 47.5 (+3.5%) at episode 2540, saving model...
03-04 00:03:07: New best reward 48.5 (+2.1%) at episode 5500, saving model...
03-04 00:41:36: New best reward 53.0 (+9.3%) at episode 5709, saving model...
03-04 00:55:25: New best reward 62.9 (+18.7%) at episode 5785, saving model...
