03-04 21:30:16: Training starting...
03-04 21:30:23: New best reward 4.2 (-100.0%) at episode 0, saving model...
03-04 21:30:27: New best reward 5.1 (+19.3%) at episode 1, saving model...
03-04 21:30:31: New best reward 8.1 (+59.9%) at episode 2, saving model...
03-04 21:31:17: New best reward 8.3 (+3.2%) at episode 10, saving model...
03-04 21:36:03: New best reward 24.6 (+194.5%) at episode 42, saving model...
03-04 22:21:02: New best reward 35.4 (+44.0%) at episode 333, saving model...
03-05 00:38:43: New best reward 36.3 (+2.7%) at episode 1232, saving model...
03-05 01:58:58: New best reward 38.3 (+5.6%) at episode 1792, saving model...
03-05 05:33:25: New best reward 48.0 (+25.1%) at episode 3237, saving model...
03-05 08:27:12: New best reward 48.8 (+1.8%) at episode 4353, saving model...
