03-03 08:07:25: Training starting...
03-03 08:07:29: New best reward 2.5 (-100.0%) at episode 0, saving model...
03-03 08:07:32: New best reward 4.3 (+72.6%) at episode 1, saving model...
03-03 08:07:40: New best reward 5.0 (+15.5%) at episode 3, saving model...
03-03 08:08:16: New best reward 5.8 (+15.5%) at episode 12, saving model...
03-03 08:08:35: New best reward 6.5 (+11.2%) at episode 16, saving model...
03-03 08:09:18: New best reward 12.6 (+94.7%) at episode 28, saving model...
03-03 08:09:21: New best reward 26.7 (+112.5%) at episode 29, saving model...
03-03 08:10:28: New best reward 32.5 (+21.7%) at episode 47, saving model...
03-03 09:38:25: New best reward 39.0 (+19.9%) at episode 637, saving model...
03-03 09:42:41: New best reward 46.9 (+20.3%) at episode 661, saving model...
03-03 10:57:35: New best reward 49.7 (+6.1%) at episode 1076, saving model...
03-03 17:09:16: New best reward 50.1 (+0.7%) at episode 3169, saving model...
03-04 15:52:20: New best reward 52.8 (+5.4%) at episode 10593, saving model...
