03-04 16:56:26: Training starting...
03-04 16:56:34: New best reward 4.0 (-100.0%) at episode 0, saving model...
03-04 16:56:43: New best reward 4.5 (+11.3%) at episode 2, saving model...
03-04 16:57:10: New best reward 4.5 (+0.0%) at episode 5, saving model...
03-04 16:57:19: New best reward 6.4 (+42.9%) at episode 6, saving model...
03-04 16:58:08: New best reward 7.3 (+13.8%) at episode 14, saving model...
03-04 16:59:08: New best reward 15.4 (+109.7%) at episode 24, saving model...
03-04 17:05:12: New best reward 16.0 (+4.2%) at episode 103, saving model...
03-04 17:19:31: New best reward 17.5 (+9.2%) at episode 216, saving model...
03-04 17:36:56: New best reward 20.4 (+16.6%) at episode 345, saving model...
03-04 17:47:31: New best reward 22.8 (+11.8%) at episode 424, saving model...
03-04 18:42:08: New best reward 24.0 (+5.5%) at episode 829, saving model...
03-04 19:14:48: New best reward 29.4 (+22.2%) at episode 1067, saving model...
03-04 20:43:52: New best reward 35.8 (+21.9%) at episode 1710, saving model...
03-04 22:25:56: New best reward 43.6 (+21.8%) at episode 2352, saving model...
03-04 22:53:25: New best reward 47.6 (+9.1%) at episode 2494, saving model...
03-04 23:57:32: New best reward 49.1 (+3.0%) at episode 2931, saving model...
