03-03 08:28:38: Training starting...
03-03 08:28:43: New best reward 3.2 (-100.0%) at episode 0, saving model...
03-03 08:28:47: New best reward 3.8 (+19.3%) at episode 1, saving model...
03-03 08:28:53: New best reward 7.4 (+95.2%) at episode 2, saving model...
03-03 08:30:28: New best reward 7.9 (+6.8%) at episode 20, saving model...
03-03 08:31:23: New best reward 8.7 (+10.6%) at episode 27, saving model...
03-03 08:31:43: New best reward 9.3 (+7.2%) at episode 30, saving model...
03-03 08:34:37: New best reward 12.8 (+37.5%) at episode 55, saving model...
03-03 08:35:07: New best reward 15.9 (+23.8%) at episode 59, saving model...
03-03 08:40:56: New best reward 16.0 (+0.7%) at episode 104, saving model...
03-03 08:48:21: New best reward 17.8 (+11.5%) at episode 146, saving model...
03-03 09:00:11: New best reward 18.6 (+4.4%) at episode 214, saving model...
03-03 09:08:17: New best reward 20.6 (+10.7%) at episode 260, saving model...
03-03 09:20:07: New best reward 23.1 (+12.1%) at episode 328, saving model...
03-03 09:51:00: New best reward 36.2 (+56.9%) at episode 501, saving model...
03-03 10:23:15: New best reward 39.1 (+8.1%) at episode 679, saving model...
