03-03 08:30:46: Training starting...
03-03 08:30:51: New best reward 4.6 (-100.0%) at episode 0, saving model...
03-03 08:30:54: New best reward 5.3 (+15.0%) at episode 1, saving model...
03-03 08:31:17: New best reward 5.4 (+1.5%) at episode 4, saving model...
03-03 08:31:37: New best reward 7.2 (+32.3%) at episode 7, saving model...
03-03 08:31:45: New best reward 12.6 (+75.3%) at episode 9, saving model...
03-03 08:39:08: New best reward 22.7 (+80.3%) at episode 63, saving model...
03-03 08:48:08: New best reward 26.2 (+15.6%) at episode 125, saving model...
03-03 09:38:18: New best reward 29.9 (+14.1%) at episode 419, saving model...
03-03 11:49:06: New best reward 49.1 (+64.3%) at episode 1147, saving model...
03-03 16:59:07: New best reward 52.0 (+5.9%) at episode 2894, saving model...
03-03 21:05:06: New best reward 52.0 (+0.1%) at episode 4257, saving model...
03-04 07:48:14: New best reward 52.9 (+1.7%) at episode 7792, saving model...
