03-04 23:07:48: Training starting...
03-04 23:07:53: New best reward 3.1 (-100.0%) at episode 0, saving model...
03-04 23:07:57: New best reward 3.4 (+11.6%) at episode 1, saving model...
03-04 23:08:04: New best reward 4.5 (+30.2%) at episode 2, saving model...
03-04 23:08:26: New best reward 4.7 (+5.7%) at episode 5, saving model...
03-04 23:08:34: New best reward 5.5 (+16.5%) at episode 6, saving model...
03-04 23:09:04: New best reward 8.6 (+57.2%) at episode 10, saving model...
03-04 23:14:11: New best reward 9.2 (+6.6%) at episode 50, saving model...
03-04 23:14:51: New best reward 11.0 (+19.9%) at episode 56, saving model...
03-04 23:18:06: New best reward 12.0 (+9.1%) at episode 82, saving model...
03-04 23:20:05: New best reward 13.6 (+12.7%) at episode 97, saving model...
03-04 23:22:05: New best reward 28.2 (+107.4%) at episode 113, saving model...
03-04 23:40:20: New best reward 48.3 (+71.6%) at episode 250, saving model...
03-05 11:36:15: New best reward 48.5 (+0.4%) at episode 4987, saving model...
